year,entity,amount,source
2011,FAO,1500342346.0,ceb
2011,IAEA,522306338.0,ceb
2011,ICAO,212854153.0,ceb
2011,IFAD,935562000.0,ceb
2011,ILO,634617031.0,ceb
2011,IMO,70976929.0,ceb
2011,IOM,1309709889.0,ceb
2011,ITC,86996000.0,ceb
2011,ITU,207808258.0,ceb
2011,PAHO,836321196.0,ceb
2011,UN,4356846000.0,ceb
2011,UN Tourism,23254811.0,ceb
2011,UN Women,198315000.0,ceb
2011,UN-DPO,7573730000.0,ceb
2011,UN-Habitat,226340264.0,ceb
2011,UNAIDS,320801000.0,ceb
2011,UNDP,5516013890.0,ceb
2011,UNEP,611372969.0,ceb
2011,UNESCO,937842181.0,ceb
2011,UNFPA,824500000.0,ceb
2011,UNHCR,2181099628.0,ceb
2011,UNICEF,3793737000.0,ceb
2011,UNIDO,245597643.0,ceb
2011,UNITAR,22351310.0,ceb
2011,UNODC,239197187.0,ceb
2011,UNOPS,76042471.0,ceb
2011,UNRWA,617275000.0,ceb
2011,UNU,55155000.0,ceb
2011,UPU,56837037.0,ceb
2011,WFP,4181022630.0,ceb
2011,WHO,2514503652.0,ceb
2011,WIPO,340952040.0,ceb
2011,WMO,83419459.0,ceb
2011,WTO,230501369.0,ceb
2012,FAO,1343397572.0,ceb
2012,IAEA,591755992.0,ceb
2012,ICAO,220499361.0,ceb
2012,IFAD,186158000.0,ceb
2012,ILO,629255294.0,ceb
2012,IMO,80008589.0,ceb
2012,IOM,1230643863.0,ceb
2012,ITC,76227000.0,ceb
2012,ITU,215242739.0,ceb
2012,PAHO,908104309.0,ceb
2012,UN,4204720880.0,ceb
2012,UN Tourism,23898875.0,ceb
2012,UN Women,235880070.0,ceb
2012,UN-DPO,7544235000.0,ceb
2012,UN-Habitat,180441000.0,ceb
2012,UNAIDS,279913491.0,ceb
2012,UNDP,5244435060.0,ceb
2012,UNEP,479042027.0,ceb
2012,UNESCO,806166489.0,ceb
2012,UNFPA,810710695.0,ceb
2012,UNHCR,2305929272.0,ceb
2012,UNICEF,3613225500.0,ceb
2012,UNIDO,315344389.0,ceb
2012,UNITAR,21032470.0,ceb
2012,UNODC,265618288.0,ceb
2012,UNOPS,676615000.0,ceb
2012,UNRWA,664041435.0,ceb
2012,UNU,62403000.0,ceb
2012,UPU,74012429.0,ceb
2012,WFP,4450012777.0,ceb
2012,WHO,2079963406.0,ceb
2012,WIPO,352672429.0,ceb
2012,WMO,92718581.0,ceb
2012,WTO,263241761.0,ceb
2013,FAO,1379994161.0,ceb
2013,IAEA,630242601.0,ceb
2013,ICAO,231416933.0,ceb
2013,IFAD,186908000.0,ceb
2013,ILO,723820287.0,ceb
2013,IMO,78688695.0,ceb
2013,IOM,1232654268.0,ceb
2013,ITC,79353000.0,ceb
2013,ITU,218892602.0,ceb
2013,PAHO,1070222402.0,ceb
2013,UN,4310389620.0,ceb
2013,UN Tourism,25115563.0,ceb
2013,UN Women,264104992.0,ceb
2013,UN-DPO,7273147000.0,ceb
2013,UN-Habitat,168201000.0,ceb
2013,UNAIDS,295195415.0,ceb
2013,UNDP,5244451435.0,ceb
2013,UNEP,601965053.0,ceb
