country,status
Afghanistan,member
Albania,member
Algeria,member
Andorra,member
Angola,member
Antigua and Barbuda,member
Argentina,member
Armenia,member
Australia,member
Austria,member
Azerbaijan,member
Bahamas,member
Bahrain,member
Bangladesh,member
Barbados,member
Belarus,member
Belgium,member
Belize,member
Benin,member
Bhutan,member
Bolivia (Plurinational State of),member
Bosnia and Herzegovina,member
Botswana,member
Brazil,member
Brunei Darussalam,member
Bulgaria,member
Burkina Faso,member
Burundi,member
Cabo Verde,member
Cambodia,member
Cameroon,member
Canada,member
Central African Republic,member
Chad,member
Chile,member
China,member
Colombia,member
Comoros,member
Congo,member
Costa Rica,member
Côte D'Ivoire,member
Croatia,member
Cuba,member
Cyprus,member
Czechia,member
Democratic People's Republic of Korea,member
Democratic Republic of the Congo,member
Denmark,member
Djibouti,member
Dominica,member
Dominican Republic,member
Ecuador,member
Egypt,member
El Salvador,member
Equatorial Guinea,member
Eritrea,member
Estonia,member
Eswatini,member
Ethiopia,member
Fiji,member
Finland,member
France,member
Gabon,member
Gambia,member
Georgia,member
Germany,member
Ghana,member
Greece,member
Grenada,member
Guatemala,member
Guinea,member
Guinea-Bissau,member
Guyana,member
Haiti,member
Honduras,member
Hungary,member
Iceland,member
India,member
Indonesia,member
Iran (Islamic Republic of),member
Iraq,member
Ireland,member
Israel,member
Italy,member
Jamaica,member
Japan,member
Jordan,member
Kazakhstan,member
Kenya,member
Kiribati,member
Kuwait,member
Kyrgyzstan,member
Lao People's Democratic Republic,member
Latvia,member
Lebanon,member
Lesotho,member
Liberia,member
Libya,member
Liechtenstein,member
Lithuania,member
Luxembourg,member
Madagascar,member
Malawi,member
Malaysia,member
Maldives,member
Mali,member
Malta,member
Marshall Islands,member
Mauritania,member
Mauritius,member
Mexico,member
Micronesia (Federated States of),member
Monaco,member
Mongolia,member
Montenegro,member
Morocco,member
Mozambique,member
Myanmar,member
Namibia,member
Nauru,member
Nepal,member
Netherlands,member
New Zealand,member
Nicaragua,member
Niger,member
Nigeria,member
North Macedonia,member
Norway,member
Oman,member
Pakistan,member
Palau,member
Panama,member
Papua New Guinea,member
Paraguay,member
Peru,member
Philippines,member
Poland,member
Portugal,member
Qatar,member
Republic of Korea,member
Republic of Moldova,member
Romania,member
Russian Federation,member
Rwanda,member
Saint Kitts and Nevis,member
Saint Lucia,member
Saint Vincent and the Grenadines,member
Samoa,member
San Marino,member
Sao Tome and Principe,member
Saudi Arabia,member
Senegal,member
Serbia,member
Seychelles,member
Sierra Leone,member
Singapore,member
Slovakia,member
Slovenia,member
Solomon Islands,member
Somalia,member
South Africa,member
South Sudan,member
Spain,member
Sri Lanka,member
Sudan,member
Suriname,member
Sweden,member
Switzerland,member
Syrian Arab Republic,member
Tajikistan,member
Thailand,member
Timor-Leste,member
Togo,member
Tonga,member
Trinidad and Tobago,member
Tunisia,member
Türkiye,member
Turkmenistan,member
Tuvalu,member
Uganda,member
Ukraine,member
United Arab Emirates,member
United Kingdom of Great Britain and Northern Ireland,member
United Republic of Tanzania,member
United States of America,member
Uruguay,member
Uzbekistan,member
Vanuatu,member
"Venezuela, Bolivarian Republic of",member
Viet Nam,member
Yemen,member
Zambia,member
Zimbabwe,member
Holy See,observer
State of Palestine,observer
