fund_code,decision,old_open_fund_name,candidate_entity_code,confidence,reason
AMR,map,Trust Fund for the Annual Ministerial Review (AMR) and the Development Cooperation Forum (DCF),DESA,high,The schedule omits the two parenthetical acronyms; the fund title and five-year expense pattern identify the old-open row.
CAF,map,Trust Fund in Support of Peace and Security in the Central African Republic,MINUSCA,high,The old-open title uses peace and security where the schedule uses peacebuilding efforts; both identify the Central African Republic account and the expense pattern agrees.
CLR,map,Central Emergency Response Fund,OCHA,medium,The loan component is part of the Central Emergency Response Fund administered by OCHA but the old extract does not itemize the zero-expense loan component separately.
DJA,map,Trust Fund for the establishment of a Joint Investigative Mechanism (JIM) pursuant to UNSCR 2235 (2015),ODA,high,The schedule title has PDF font-encoding substitutions for JIM UNSCR and 2235 (2015); the corrected title exists in the old extract.
DSA,map,Special Purpose Trust Fund for Reinvigorated RC System,DCO,high,The schedule adds articles and expands RC to Resident Coordinator; the title and expense pattern identify the same fund.
DWA,map,Trust Fund for the United Nations Disarmament Info Programme,ODA,high,The schedule expands Info to Information; four of five overlapping expense values are exact.
HCB,map,Host Country Agreements - UNHQ (Volume 1),DESA,high,The schedule has a PDF font-encoding substitution for UNHQ; the corrected title and expense pattern identify the old-open row.
IDP,map,African Institute for Economic Development and Planning,ECA,high,The schedule adds the established acronym IDEP; the title and expense pattern identify the same fund.
IIT,map,Trust Fund in Support of the Implementation of the UNSCR 2379 (2017),UNITAD,high,The schedule title has PDF font-encoding substitutions and describes the Iraq Investigative Team established by resolution 2379 (2017); the expense pattern identifies the old-open row.
IOA,map,Voluntary Trust Fund to Support the Activities of the International Tribunal Established by Security Council Resolution 827 (1993),MICT,high,The schedule has PDF font-encoding substitutions for 827 (1993); the corrected title exists in the old extract.
LMR,map,Trust Fund for Locally Mobilized Non-Core Resources for the UN Resident Coordinator Offices,DCO,high,The schedule uses Support where the old extract uses Resources; the title and overlapping expense pattern identify the same fund.
OAU,map,"Trust Fund to support the UNOAU pursuant to Security Councils 2230 (2016), 2378 (2017) and 2457 (2019)",UNOAU,high,The schedule has PDF font-encoding substitutions for UNOAU and the resolution numbers; the corrected title and expense pattern identify the old-open row.
PIA,map,Trust fund for Public Awareness on Disarm Affair,ODA,high,The old extract abbreviates and singularizes Disarmament Affairs; the expense pattern identifies the same fund.
SEA,map,Trust Fund in Support of the Office of the Special Coordinator on Improving United Nations Response to Sexual Exploitation and Abuse,OSC-SEA,high,The schedule shortens the office title; both titles identify the same Special Coordinator.
SVB,map,Trust Fund in Support of Victims of Sexual Exploitation and Abuse,VRA,high,The schedule misspells Exploitation; the title and expense pattern identify the same fund.
VTA,map,Voluntary Technical Assistance Trust Fund to Support the Participation of Least Developed Countries & Small Island Developing States in the work of the Human Rights Council,OHCHR,high,The schedule misspells Participation; the corrected title and expense pattern identify the old-open row.
ANC,unresolved,Trust Fund for the Promotion of Social and Economic Development in Afghanistan,UNAMA,medium,The schedule title names UNAMA and the expense pattern is close but the only old-open UNAMA fund has a materially different title; an authoritative fund-code bridge is needed.
DVA,unresolved,,DESA,low,Development planning and projections suggests DESA but the fund is effectively dormant and has no named row in the old extract.
EER,unresolved,,,none,The Ebola-response fund is dormant in the overlap and has no named row in the old extract; its administering entity cannot be established from these sources.
GNA,unresolved,,MICT,low,The Rwanda Tribunal title suggests the residual mechanism but the fund is dormant in the overlap and has no named row in the old extract.
MWF,unresolved,,DPO,low,The memorial for fallen peacekeepers suggests DPO but the fund has no old-open row or useful overlapping expense fingerprint.
SWE,unresolved,General Trust Fund for Independent System-wide Evaluations,,none,The five-year expense pattern points to the SWEO row while the schedule title says Joint Inspection Unit; the conflicting institutional labels require authoritative review.
YEA,unresolved,,OSESG-Yemen,low,The title explicitly names the Yemen Special Envoy but that entity and fund are absent from the old extract and from the PPB entity dimension.
