table_id,calendar_year,recid,symbol,page,schedule_number,base_schedule_number,fund_code,fund_name,table_kind,column_boundaries,row_count,csv_path
2017-p012-financial-position-1.1-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,12,1.1,1.1,ANC,Trust Fund for the Promotion of Social and Economic Development in Afghanistan,financial_position,"[0.0, 310.88, 403.38, 498.52, 613.0]",35,data/trust-fund-schedules/stage1/tables/2017-p012-financial-position-1.1-y146.csv
2017-p013-financial-performance-1.1-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,13,1.1,1.1,ANC,Trust Fund for the Promotion of Social and Economic Development in Afghanistan,financial_performance,"[0.0, 319.09, 411.59, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p013-financial-performance-1.1-y115.csv
2017-p014-financial-position-1.2-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,14,1.2,1.2,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,financial_position,"[0.0, 302.58, 399.23, 498.52, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p014-financial-position-1.2-y146.csv
2017-p015-financial-performance-1.2-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,15,1.2,1.2,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,financial_performance,"[0.0, 318.0, 411.04, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p015-financial-performance-1.2-y115.csv
2017-p016-voluntary-contribution-receivable-1.2.1-y087,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,16,1.2.1,1.2,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,voluntary_contribution_receivable,"[0.0, 210.33, 304.83, 406.34, 613.0]",8,data/trust-fund-schedules/stage1/tables/2017-p016-voluntary-contribution-receivable-1.2.1-y087.csv
2017-p016-voluntary-contribution-1.2.1-y219,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,16,1.2.1,1.2,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,voluntary_contribution,"[0.0, 200.69, 314.27, 413.86, 501.81, 613.0]",14,data/trust-fund-schedules/stage1/tables/2017-p016-voluntary-contribution-1.2.1-y219.csv
2017-p016-other-transfer-allocation-contributions-1.2.1-y427,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,16,1.2.1,1.2,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,other_transfer_allocation_contributions,"[0.0, 210.29, 304.85, 404.36, 613.0]",4,data/trust-fund-schedules/stage1/tables/2017-p016-other-transfer-allocation-contributions-1.2.1-y427.csv
2017-p017-financial-position-1.3-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,17,1.3,1.3,CIB,Trust Fund in support of the construction and renovation of the United Nations compound in Baghdad,financial_position,"[0.0, 310.88, 403.38, 498.52, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p017-financial-position-1.3-y146.csv
2017-p018-financial-performance-1.3-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,18,1.3,1.3,CIB,Trust Fund in support of the construction and renovation of the United Nations compound in Baghdad,financial_performance,"[0.0, 319.09, 411.59, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p018-financial-performance-1.3-y115.csv
2017-p019-financial-position-1.4-y146,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,19,1.4,1.4,CPK,Trust Fund for Peacekeeping Support Activities,financial_position,"[0.0, 310.88, 403.38, 495.53, 613.0]",36,data/trust-fund-schedules/stage1/tables/2017-p019-financial-position-1.4-y146.csv
2017-p020-financial-performance-1.4-y115,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,20,1.4,1.4,CPK,Trust Fund for Peacekeeping Support Activities,financial_performance,"[0.0, 318.0, 411.05, 503.37, 613.0]",20,data/trust-fund-schedules/stage1/tables/2017-p020-financial-performance-1.4-y115.csv
2017-p021-voluntary-contribution-1.4.1-y086,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,21,1.4.1,1.4,CPK,Trust Fund for Peacekeeping Support Activities,voluntary_contribution,"[0.0, 210.85, 310.71, 398.12, 475.18, 613.0]",27,data/trust-fund-schedules/stage1/tables/2017-p021-voluntary-contribution-1.4.1-y086.csv
2017-p021-other-transfer-allocation-contributions-1.4.1-y409,2017,1644706.0,(DM/OPPBA) FINANCIAL STATEMENTS FOR THE YEAR ENDED 31 DECEMBER 2017,21,1.4.1,1.4,CPK,Trust Fund for Peacekeeping Support Activities,other_transfer_allocation_contributions,"[0.0, 219.34, 302.38, 389.67, 613.0]",4,data/trust-fund-schedules/stage1/tables/2017-p021-other-transfer-allocation-contributions-1.4.1-y409.csv
