calendar_year,recid,page,source_table_id,source_row_index,source_y,schedule_number,fund_code,flow_type,counterparty_group,counterparty,is_total,current_usd,current_reported_text,current_reported_as_dash,non_current_usd,non_current_reported_text,non_current_reported_as_dash,total_usd,total_reported_text,total_reported_as_dash,monetary_usd,monetary_reported_text,monetary_reported_as_dash,in_kind_usd,in_kind_reported_text,in_kind_reported_as_dash,refunds_transfers_adjustments_usd,refunds_transfers_adjustments_reported_text,refunds_transfers_adjustments_reported_as_dash,contributions_usd,contributions_reported_text,contributions_reported_as_dash,refunds_adjustments_usd,refunds_adjustments_reported_text,refunds_adjustments_reported_as_dash,internal_transfers_usd,internal_transfers_reported_text,internal_transfers_reported_as_dash,levy_usd,levy_reported_text,levy_reported_as_dash
2017,1644706.0,284,2017-p284-other-transfer-allocation-contributions-4.1.1-y076,1,98.21,4.1.1,AHA,other_transfer_allocation_contributions,,International Organization for Migration - IOM,False,,,,,,,52800.0,52 800,False,,,,,,,,,,52800.0,52 800,False,0.0,-,True,,,,,,
2017,1644706.0,284,2017-p284-other-transfer-allocation-contributions-4.1.1-y076,2,109.13,4.1.1,AHA,other_transfer_allocation_contributions,,UNDP,False,,,,,,,248400.0,248 400,False,,,,,,,,,,248400.0,248 400,False,0.0,-,True,,,,,,
2017,1644706.0,284,2017-p284-other-transfer-allocation-contributions-4.1.1-y076,3,119.66,4.1.1,AHA,other_transfer_allocation_contributions,,Total,True,,,,,,,301200.0,301 200,False,,,,,,,,,,301200.0,301 200,False,0.0,-,True,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,5,367.17,4.1.1,AHA,voluntary_contribution,Government,Australia,False,,,,,,,166415.0,166 415,False,166415.0,166 415,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,6,378.09,4.1.1,AHA,voluntary_contribution,Government,Canada,False,,,,,,,-2415.0,(2 415),False,0.0,-,True,0.0,-,True,-2415.0,(2 415),False,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,7,389.02,4.1.1,AHA,voluntary_contribution,Government,Finland,False,,,,,,,910125.0,910 125,False,910125.0,910 125,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,8,399.95,4.1.1,AHA,voluntary_contribution,Government,France,False,,,,,,,68259.0,68 259,False,68259.0,68 259,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,9,410.87,4.1.1,AHA,voluntary_contribution,Government,Germany,False,,,,,,,796643.0,796 643,False,837716.0,837 716,False,0.0,-,True,-41073.0,(41 073),False,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,10,421.8,4.1.1,AHA,voluntary_contribution,Government,India,False,,,,,,,100000.0,100 000,False,100000.0,100 000,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,11,432.73,4.1.1,AHA,voluntary_contribution,Government,Liechtenstein,False,,,,,,,39722.0,39 722,False,39722.0,39 722,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,12,443.65,4.1.1,AHA,voluntary_contribution,Government,Norway,False,,,,,,,2371917.0,2 371 917,False,2371917.0,2 371 917,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,13,454.6,4.1.1,AHA,voluntary_contribution,Government,Saudi Arabia,False,,,,,,,440000.0,440 000,False,440000.0,440 000,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,14,465.53,4.1.1,AHA,voluntary_contribution,Government,South Africa,False,,,,,,,21773.0,21 773,False,21773.0,21 773,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,15,476.42,4.1.1,AHA,voluntary_contribution,Government,Sweden,False,,,,,,,2290688.0,2 290 688,False,2290688.0,2 290 688,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
2017,1644706.0,283,2017-p283-voluntary-contribution-4.1.1-y313,16,487.36,4.1.1,AHA,voluntary_contribution,Government,Switzerland,False,,,,,,,235000.0,235 000,False,235000.0,235 000,False,0.0,-,True,0.0,-,True,,,,,,,,,,,,
