calendar_year,fund_code,fund_name,base_schedule_number,recid,first_pdf_page
2017,ACM,Trust Fund in Support of General Assembly and Conference Management Activities,6.1,1644706.0,345
2017,AHA,Voluntary Fund for Advisory Services and Technical Assistance in the Field of Human Rights,4.1,1644706.0,281
2017,AMR,Trust Fund for the Annual Ministerial Review and the Development Cooperation Forum,3.1,1644706.0,158
2017,ANC,Trust Fund for the Promotion of Social and Economic Development in Afghanistan,1.1,1644706.0,12
2017,BKT,ESCAP - Technical Cooperation Project Trust Funds - Local,3.2,1644706.0,161
2017,BTF,General Trust Fund for ESCAP Regional Activities,3.3,1644706.0,165
2017,BTS,ECLAC Santiago - Technical Cooperation Project Trust Funds,3.4,1644706.0,168
2017,CAF,Trust Fund in Support of Peace and Security in the Central African Republic,1.2,1644706.0,14
2017,CCR,Trust Fund to Support the Coordination and Coherence of the Rule of Law Activities of the United Nations System,2.1,1644706.0,126
2017,CCS,Trust Fund for Climate Change Support,6.2,1644706.0,347
2017,CER,Central Emergency Response Fund,4.2,1644706.0,285
2017,CHA,United Nations Voluntary Fund for Victims of Torture,4.3,1644706.0,289
2017,CIA,Trust Fund for a Human Rights Education Programme in Cambodia,4.4,1644706.0,292
2017,CIB,Trust Fund in support of the construction and renovation of the United Nations compound in Baghdad,1.3,1644706.0,17
2017,CLA,Trust Fund for Legal Affairs and related issues,2.2,1644706.0,128
2017,CLO,Trust Funds converted from IMIS to be closed,6.3,1644706.0,350
2017,CLR,Trust Fund Central Emergency Response Fund Loan component,4.5,1644706.0,295
2017,COC,Trust Fund to Support Management and Reform Activities,6.4,1644706.0,353
2017,CPK,Trust Fund for Peacekeeping Support Activities,1.4,1644706.0,19
2017,CSA,Trust Fund for Case Studies on the Functioning of the Operational Activities for Development of the United Nations System,3.5,1644706.0,172
2017,CTD,Trust Fund for the Counter-Terrorism Committee Executive Directorate,1.5,1644706.0,22
2017,CTI,Trust Fund for Counter-Terrorism,1.6,1644706.0,25
2017,DAA,United Nations Regional Centre for Peace and Disarmament in Africa,1.8,1644706.0,28
2017,DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",1.9,1644706.0,31
2017,DDN,Trust Fund for the Strengthening of the Office of the Emergency Relief Coordinator,4.6,1644706.0,297
2017,DFA,Trust Fund for the United Nations Regional Centre for Peace and Disarmament in Asia,1.10,1644706.0,34
2017,DGA,Trust Fund for Global and Regional Disarmament Activities,1.11,1644706.0,37
2017,DGT,Sub-account for supporting the implementation of the Arms Trade Treaty and Programme of Action,1.12,1644706.0,40
2017,DJA,Trust Fund for the establishment of a Joint Investigative Mechanism (gfj) pursuant to rkp`o OOPR (OMNR),1.13,1644706.0,43
2017,DLA,Sasakawa - UNDRO Disaster Prevention Award Endowment Fund,4.7,1644706.0,301
2017,DRA,United Nations Institute for Disarmament Research,1.14,1644706.0,46
2017,DVA,Trust Fund for Development Planning and Projections,3.6,1644706.0,175
2017,DXA,Trust Fund for Disaster Reduction,4.8,1644706.0,303
2017,EAA,"United Nations Electronic Data Interchange for Administration, Commerce and Transport",3.7,1644706.0,177
2017,ECE,ECE Local Technical Co-operation Trust Funds,3.8,1644706.0,179
2017,EER,Trust Fund in support of the UN Coordinated Response to the Ebola Crisis,1.15,1644706.0,50
2017,EHA,UN/ECE Trust Fund on Human Settlements,3.9,1644706.0,184
2017,EIA,"Trust Fund for Environmental Performance Reviews and the ""Environment for Europe""",3.10,1644706.0,187
2017,ERA,Development Forum Trust Fund,5.1,1644706.0,337
2017,ESA,Trust Fund for Economic and Social Information,5.2,1644706.0,339
2017,FII,Trust Fund on Indigenous Issues,3.11,1644706.0,190
2017,FYA,United Nations Trust Fund on Family Activities,3.12,1644706.0,193
2017,GAC,Trust Fund in Support of the Office of the President of the General Assembly,6.5,1644706.0,356
2017,GBA,Trust Fund for Statistical Development and Capacity Building,3.13,1644706.0,195
2017,GCU,United Nations Trust Fund for Government Contributions to UNICS,5.3,1644706.0,342
2017,GIV,Trust Fund to Support Global Impact and Vulnerability Alert System,6.6,1644706.0,359
2017,GKA,Global Compact Trust Fund,3.14,1644706.0,198
2017,GLA,Trust Fund in support of the Office of the Special Envoy of the Secretary-General for the Great Lakes Region,1.16,1644706.0,53
2017,GNA,Trust Fund for the International Tribunal for the Prosecution of Persons Responsible for Genocide and Other Serious Violations of International Humanitarian Law Committed in the Territory of Rwanda,2.3,1644706.0,131
2017,GTA,Trust Fund for German Language Translation,6.7,1644706.0,362
2017,GYA,Trust Fund for United Nations Integrated Peace Building Office in Guinea Bissau (UNIOGBIS),1.17,1644706.0,56
2017,HBP,Trust Fund for the Implementation of HLCM Plan of Action for the Harmonization of Business Practices in the United Nations system,6.8,1644706.0,365
2017,HCA,Trust Fund for the Support to the Activities of the Centre for Human Rights,4.9,1644706.0,307
2017,HDM,ECA as Executing Agency for Miscellaneous Technical Co-operation Funds,3.15,1644706.0,201
2017,HIA,Trust Fund to Support Activities for the Follow-up to the International Conference on Financing for Development,3.16,1644706.0,204
2017,HKA,Trust Fund in Support of the Political Transition in Haiti,1.18,1644706.0,59
2017,HYA,Trust Fund for Human Security,4.10,1644706.0,312
2017,IDA,United Nations Voluntary Fund on Disability,3.17,1644706.0,207
2017,IEA,United Nations Youth Fund,3.18,1644706.0,210
2017,IHA,United Nations Voluntary Fund for Indigenous Populations,4.11,1644706.0,315
2017,IIT,Trust Fund to Support the Iraq Investigative Team pursuant to rkp`o OPTV (OMNT),1.42,1644706.0,123
2017,IOA,Voluntary Trust Fund to Support the Activities of the International Tribunal Established by Security Council Resolution UOT (NVVP),2.4,1644706.0,134
2017,JMS,Trust Fund for the AU-UN Joint Mediation Support Team (JMST) for Darfur,1.19,1644706.0,61
2017,JPO,Trust Fund for Junior Professional Officer Programme Administered by Department of Economic and Social Affairs,3.20,1644706.0,213
2017,JTA,Trust Fund for the Millennium Assembly and the Millennium Summit of the United Nations,6.9,1644706.0,367
2017,KJA,Trust Fund to Assist Members of the Commission on the Limits of the Continental Shelf from Developing States to Participate in its Meetings,2.5,1644706.0,137
2017,KRT,UNAKRT - UN Assistance for the Khmer Rouge Trails,3.21,1644706.0,216
2017,KSA,Trust Fund in Support of the United Nations Forum on Forests,3.22,1644706.0,219
2017,KUA,Trust Fund to Assist Developing States in the Preparation of Submissions to the Commission on the Limits of the Continental Shelf,2.6,1644706.0,140
2017,LAC,ECLAC - Miscellaneous project accounts,3.23,1644706.0,222
2017,LEA,Library Endowment Fund,6.10,1644706.0,370
2017,LJA,Trust Fund for Special Projects of the Secretary-General,6.11,1644706.0,372
2017,LLA,Trust Fund in Support of the Department of Peacekeeping Operations,1.20,1644706.0,64
2017,LLS,"Trust Fund in Support of Activities Undertaken by the Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States (OHRLLS)",3.24,1644706.0,225
2017,LPD,Trust Fund to Support Lasting Peace in Darfur,1.21,1644706.0,67
2017,LRA,Trust Fund for the Financing of the Implementation of the Convention on Long-Range Transboundary Air Pollution,3.25,1644706.0,228
2017,LSS,Trust Fund for UNOG Local Support Services,6.12,1644706.0,375
2017,LTA,Trust Fund for the ECE Study on Long-Term European Timber Trends and Prospects,3.26,1644706.0,232
2017,MIS,Trust Fund in Support of the African-led International Support Mission in the Central African Republic (MISCA),1.22,1644706.0,69
2017,MNA,Voluntary Trust Fund for Assistance in Mine Action,4.12,1644706.0,318
2017,MSM,Trust Fund in Support of the African-led International Support Mission in Mali,1.23,1644706.0,72
2017,NAA,Trust Fund for the Support of Activities of OSAA to the New Partnership for Africa's Development (NEPAD) and Tokyo International Conference on African Development (TICAD) Process,3.27,1644706.0,234
2017,NGA,Trust Fund to Support Peace Process in the Democratic Republic of Congo,1.24,1644706.0,74
2017,NNA,Trust Fund for Children and Armed Conflict,1.25,1644706.0,77
2017,OTB,Trust Fund to Support the launch and operationalization of the Technology Bank for LDCs,3.28,1644706.0,237
2017,OUN,Technical Cooperation Trust Fund for One UN projects implemented by UNCTAD,3.29,1644706.0,240
2017,PDF,Trust Fund for United Nations Peace and Development,3.30,1644706.0,243
2017,PGA,Trust Fund for Population and Development,3.31,1644706.0,246
2017,PIL,Trust Fund for the Office of Legal Affairs to Support the Promotion of International Law,2.7,1644706.0,143
2017,PSL,Trust Fund in Support of Peace and Security in Libya,1.26,1644706.0,80
2017,PSM,Trust Fund in Support of Peace and Security in Mali,1.27,1644706.0,82
2017,PSO,Trust Fund for the Peacebuilding Support Office,1.28,1644706.0,85
2017,PYA,Trust Fund for Preventive Action,1.29,1644706.0,88
2017,QGA,United Nations Fund for International Partnership (UNFIP),7.1,1644706.0,397
2017,QGB,Trust Fund for Partnerships,7.2,1644706.0,400
2017,QOA,United Nations Trust Fund for Enhancing Professional Capacity in Internal Oversight Functions,6.13,1644706.0,378
2017,RIA,United Nations Research Institute for Social Development,3.32,1644706.0,249
