fund_code,fund_name,first_year,last_year,observed_years
ACM,Trust Fund in Support of General Assembly and Conference Management Activities,2017,2024,8
AHA,Voluntary Fund for Advisory Services and Technical Assistance in the Field of Human Rights,2017,2024,8
AMR,Trust Fund for the Annual Ministerial Review and the Development Cooperation Forum,2017,2024,8
AMS,Trust Fund for the United Nations Integrated Transition Assistance Mission in Sudan,2022,2024,3
ANC,Trust Fund in Support of the United Nations Mission in Afghanistan UNAMA,2017,2024,8
BKT,ESCAP - Technical Cooperation Project Trust Funds - Local,2017,2024,8
BTF,General Trust Fund for ESCAP Regional Activities,2017,2024,8
BTS,ECLAC Santiago - Technical Cooperation Project Trust Funds,2017,2024,8
CAF,Trust Fund in Support of Peacebuilding Efforts in the Central African Republic,2017,2024,8
CCR,Trust Fund to Support the Coordination and Coherence of the Rule of Law Activities of the United Nations System,2017,2024,8
CCS,Trust Fund for Climate Change Support,2017,2024,8
CER,Central Emergency Response Fund,2017,2024,8
CFE,Trust Fund for ECA Construction,2018,2024,7
CHA,United Nations Voluntary Fund for Victims of Torture,2017,2024,8
CIA,Trust Fund for a Human Rights Education Programme in Cambodia,2017,2024,8
CIB,Trust Fund in support of the construction and renovation of the United Nations compound in Baghdad,2017,2024,8
CLA,Trust Fund for Legal Affairs and related issues,2017,2024,8
CLO,Trust Funds converted from IMIS to be closed,2017,2024,8
CLR,Trust Fund Central Emergency Response Fund Loan component,2017,2024,8
CNM,Trust Fund in Support of the Cameroon-Nigeria Border Demarcation and Other Activities Related to Preventive Diplomacy and Peacemaking,2018,2024,7
COC,Trust Fund to Support Management and Reform Activities,2017,2024,8
CPK,Trust Fund in Support Peacekeeping Activities,2017,2024,8
CSA,Trust Fund for Case Studies on the Functioning of the Operational Activities for Development of the United Nations System,2017,2024,8
CTD,Trust Fund for the Counter-Terrorism Committee Executive Directorate,2017,2024,8
CTI,Trust Fund for Counter-Terrorism,2017,2024,8
CYP,Trust Fund to Support Peace and Security in Cyprus,2020,2024,5
DAA,United Nations Regional Centre for Peace and Disarmament in Africa,2017,2024,8
DBA,"Trust Fund for the United Nations Regional Centre for Peace, Disarmament and Development in Latin America",2017,2024,8
